Country,GDP per Capita,Libraries,Libraries per Capita,Population
Aruba,,3,2.8619946194501154,104822
Afghanistan,561.778746269502,82,0.23661104652719617,34656032
Angola,3110.80818263013,19,0.0659413969087992,28813463
Albania,4146.89625046198,40,1.390771742716963,2876101
Andorra,,8,10.35183292141665,77281
United Arab Emirates,37622.2074575932,20,0.21575876099236946,9269612
Argentina,12449.2168521177,1545,3.523581655754967,43847430
Armenia,3606.15205715147,1034,35.35265124370217,2924816
American Samoa,,2,3.597186999766183,55599
Antigua and Barbuda,14353.3788138742,3,2.9713855570852687,100963
Australia,49927.8195094751,1429,5.922786018859494,24127159
Austria,44176.5152160475,1473,16.839370241849025,8747358
Azerbaijan,3876.9364326427,4382,44.88708266127339,9762274
Burundi,285.727442064713,12,0.11402381786519476,10524117
Belgium,41096.1573021536,641,5.648493293053084,11348159
Benin,789.440410685648,70,0.6438381287930114,10872298
Burkina Faso,649.730483655835,50,0.2681478007080496,18646433
Bangladesh,1358.7797522498,68,0.04173019270266575,162951560
Bulgaria,7350.79580089813,2722,38.18838349218036,7127822
Bahrain,22354.1670706869,2,0.14033403710852943,1425171
Bosnia and Herzegovina,4708.71826065622,108,3.0709596407659654,3516816
Belarus,4989.25461056406,5000,52.59216250557476,9507120
Belize,4810.56590199317,35,9.537980237304948,366954
Bermuda,,2,3.0613338231467453,65331
Bolivia,3104.95608914095,400,3.6738091026335518,10887882
Brazil,8649.94849175062,6545,3.151894870316381,207652865
Barbados,16096.8925879661,8,2.807056941150051,284996
Brunei Darussalam,26938.5033823025,9,2.1266741651622416,423196
Bhutan,2804.00022298565,1,0.12535019711318496,797765
Botswana,6788.04274537565,82,3.644023357300934,2250260
Canada,42157.9279910146,3311,9.12462442910813,36286425
Switzerland,78812.6506872985,2000,23.888874688280048,8372098
Channel Islands,,11,6.68526385520934,164541
Chile,13792.9260543892,526,2.936947095979096,17909754
China,8123.1808725464,51311,3.7217888319497483,1378665000
Cameroon,1032.64872204454,29,0.12372441725692812,23439189
Colombia,5805.60533452459,1609,3.3070646073197856,48653419
Costa Rica,11824.6381020004,57,1.173497727326068,4857274
Cuba,,407,3.546537455356762,11475982
Cayman Islands,,2,3.2913683864066483,60765
Cyprus,23324.2017353618,142,12.135455613716484,1170125
Czech Republic,18266.5496886036,5407,51.19473475361244,10561633
Germany,41936.0585754956,8195,9.913184335571996,82667685
Dominica,7144.45467277647,5,6.798743592184165,73543
Denmark,53417.6642756422,97,1.6925144448255993,5731118
Dominican Republic,6722.22353580612,398,3.7375134886204453,10648791
Algeria,3843.75232202304,83,0.20440302839586572,40606052
Ecuador,5968.98413848511,3,0.018309353369787663,16385068
Spain,26528.4917900799,4164,8.965643949517741,46443959
Estonia,17574.6873552714,487,36.99255819111708,1316481
Ethiopia,706.757754078087,249,0.2431564733585073,102403196
Finland,43090.2475062997,308,5.6049976196958164,5495096
Fiji,5153.35154431659,12,1.3351729048911833,898760
France,36854.9682804756,3410,5.097456415589134,66896109
Faroe Islands,,1,2.0359549646761814,49117
Gabon,7179.34066115314,11,0.5556156069393359,1979786
United Kingdom,39899.3883948894,208,0.31689328065734146,65637239
Georgia,3853.64990352915,2251,60.52214126314092,3719300
Ghana,1513.46103432745,257,0.9111301388803408,28206728
Gibraltar,,1,2.9063008602650546,34408
Guinea,508.145078427288,42,0.3388210511777904,12395924
Equatorial Guinea,8333.23826311996,3,0.24560168319020212,1221490
Greece,18103.9693224025,520,4.838676659154311,10746740
Grenada,9469.21918069658,9,8.386369354342742,107317
Greenland,,19,33.816253159149966,56186
Guatemala,4146.7441286273,70,0.42213255456711546,16582469
Guam,,1,0.613888616049504,162896
Guyana,4456.55369735494,27,3.4915162620602787,773303
Honduras,2361.15761950895,116,1.2729254141424426,9112867
Croatia,12090.6665635703,319,7.648779552102815,4170600
Haiti,739.595436253749,30,0.27656565198416494,10847334
Hungary,12664.8474351203,1465,14.921636454342135,9817958
Indonesia,3570.29488811764,1062,0.40671663649048795,261115456
Isle of Man,,8,9.553721771737703,83737
India,1709.38792119802,29800,2.2504640286909576,1324171354
Ireland,61606.482939417,348,7.290866827498719,4773095
Iraq,4609.60069352322,489,1.3144252499531484,37202572
Iceland,59976.9425653312,78,23.335686847049534,334252
Israel,37292.6122172917,870,10.17889108586538,8547100
Italy,30527.2682030287,7000,11.551042654865242,60600590
Jamaica,4868.24826260746,13,0.45117661655714064,2881355
Jordan,4087.9375167203,135,1.4276948692453586,9455802
Japan,38894.4677292018,3126,2.461523711052362,126994511
Kazakhstan,7510.07720865798,4004,22.498133396624784,17797032
Kenya,1455.35976536469,2,0.004126981696650461,48461567
Cambodia,1269.90723818913,1100,6.9786459777305065,15762370
Kiribati,1449.05823116784,2,1.7483281611958563,114395
Kuwait,,26,0.6415659737096134,4052584
Lebanon,7914.0046774839,70,1.16537155041697,6006668
Liberia,455.370741357005,3,0.06502200019376556,4613823
Libya,,2,0.03178006668411392,6293253
Liechtenstein,,3,7.964742738809536,37666
Sri Lanka,3835.39481711341,1185,5.588831769089279,21203000
Lesotho,998.134371557577,12,0.544508832613901,2203821
Lithuania,14879.6802989698,65,2.2629963882577644,2872298
Luxembourg,102831.321482811,21,3.602231325003602,582972
Latvia,14118.0639067571,815,41.57263938821398,1960424
Morocco,2832.42977713622,600,1.7008352178115091,35276786
Monaco,,2,5.194940128315021,38499
Moldova,1900.20147934803,1381,38.8795045045045,3552000
Madagascar,401.318870068995,57,0.22896576845270278,24894551
Maldives,8601.63248838154,80,19.162043823594225,417492
Mexico,8201.3062528823,7260,5.692312938306626,127540423
Marshall Islands,3448.53578562545,2,3.7688915689895603,53066
Mali,780.507110878306,97,0.5390435045341061,17994837
Malta,25058.1706055815,56,12.816199676390958,436947
Myanmar,1275.01760814834,1,0.0018908873656446527,52885223
Montenegro,6701.00008024241,20,3.2114017608115857,622781
Mongolia,3686.45169810524,281,9.281898184513567,3027398
Northern Mariana Islands,,1,1.8174218054268214,55023
Mozambique,382.069330425644,11,0.038155393459111085,28829476
Mauritania,1077.55613626163,2,0.046500619155744057,4301018
Mauritius,9627.59578522351,16,1.2663507649154353,1263473
Malawi,300.794825113129,1,0.005527434731359763,18091575
Malaysia,9502.56839625166,1392,4.463360285039422,31187265
Namibia,4140.46193248801,65,2.621271090646377,2479713
New Caledonia,,1,0.3597122302158273,278000
Nigeria,2177.98516981843,36,0.019355916813431115,185989640
Nicaragua,2151.38204656346,30,0.4878105890020176,6149928
Netherlands,45294.7799953866,177,1.0400502796736335,17018408
Norway,70812.4774226187,744,14.217658982187604,5232929
Nepal,729.532501133179,800,2.760260569977936,28982771
New Zealand,39426.6234987649,296,6.307669358791314,4692700
Oman,14982.3579235229,6,0.13560051365474574,4424762
Pakistan,1468.19294647812,400,0.20703561254767489,193203476
Panama,13680.23600692,108,2.677164456477362,4034119
Peru,6045.6500766247,820,2.5807394567587503,31773839
Philippines,2951.07192903542,1224,1.1846664440964907,103320222
Palau,13626.0056736269,2,9.301027763567875,21503
Papua New Guinea,,20,0.2473719513107683,8084991
Poland,12372.4170564311,8290,21.8456743562035,37948016
Puerto Rico,,58,1.700228094393146,3411307
Portugal,19813.3082485256,194,1.8790054172501027,10324611
Paraguay,4080.20464394436,35,0.5204222617016202,6725308
Qatar,59330.8599872525,7,0.27239431489716726,2569804
Romania,9474.13060440536,2943,14.935067472453223,19705301
Rwanda,702.835601585743,5,0.04195507987072465,11917508
Saudi Arabia,20028.6482072005,80,0.24786459231681113,32275687
Sudan,2415.03816212562,13,0.032845843742518095,39578828
Senegal,958.073737852607,26,0.1687039397690599,15411614
Singapore,52960.7141893889,23,0.4101808308943922,5607283
Solomon Islands,2005.48364332796,3,0.5004846359558172,599419
Sierra Leone,496.049463350517,1,0.013520474730908751,7396190
El Salvador,4223.58457943469,228,3.593538062030141,6344722
San Marino,,15,45.17664066500015,33203
Serbia,5348.29406421381,554,7.849903052280355,7057412
Suriname,6484.43273109527,1,0.17909335778554644,558368
Slovenia,21304.5701619503,60,2.905787117192816,2064845
Sweden,51599.868867777,2090,21.104455746379777,9903122
Swaziland,2775.15390848176,15,1.1168209616870846,1343098
Seychelles,15075.7194365696,2,2.112445472501241,94677
Turks and Caicos Islands,,1,2.865329512893983,34900
Chad,664.29565189928,42,0.2906062967603694,14452543
Togo,578.461693648613,36,0.47328727196427633,7606374
Thailand,5907.91343151532,2116,3.0727447338804112,68863514
Tajikistan,795.843864367519,1994,22.827832691906345,8734951
Timor-Leste,,2,0.15764528392309748,1268671
Trinidad and Tobago,15377.0988055665,23,1.6850285942026224,1364962
Tunisia,3688.64637468078,371,3.2534590144842945,11403248
Turkey,10787.609339044,1156,1.4538608091268652,79512426
Tanzania,879.193814026315,37,0.06658005141815419,55572201
Uganda,615.308803182525,24,0.05784810125056748,41487965
Ukraine,2185.72803066435,18323,40.71357523206771,45004645
Uruguay,15220.5660250684,215,6.242730123002109,3444006
United States,57466.7871132348,9042,2.7982761096545805,323127513
Uzbekistan,2110.64787239513,9,0.02825905388687587,31848200
British Virgin Islands,,5,16.307361142819868,30661
Vietnam,2185.69028246406,6691,7.217821579247711,92701100
Vanuatu,2860.56647483229,1,0.3698197498539212,270402
Samoa,4027.76137034554,2,1.0249839846252402,195125
Kosovo,3661.42984742258,1,0.05506001541680432,1816200
South Africa,5273.59387968462,1800,3.219525204097776,55908865
Zambia,1178.38790501204,9,0.05424500298046155,16591390
Zimbabwe,1008.59733051185,49,0.3033987721142102,16150362
