Country,2001 Legal Score,2001 Political Score,2001 Economic Score,2001 Score,2001 Status,2002 Legal Score,2002 Political Score,2002 Economic Score,2002 Score,2002 Status,2003 Legal Score,2003 Political Score,2003 Economic Score,2003 Score,2003 Status,2004 Legal Score,2004 Political Score,2004 Economic Score,2004 Score,2004 Status,2005 Legal Score,2005 Political Score,2005 Economic Score,2005 Score,2005 Status,2006 Legal Score,2006 Political Score,2006 Economic Score,2006 Score,2006 Status,2007 Legal Score,2007 Political Score,2007 Economic Score,2007 Score,2007 Status,2008 Legal Score,2008 Political Score,2008 Economic Score,2008 Score,2008 Status,2009 Legal Score,2009 Political Score,2009 Economic Score,2009 Score,2009 Status,2010 Legal Score,2010 Political Score,2010 Economic Score,2010 Score,2010 Status,2011 Legal Score,2011 Political Score,2011 Economic Score,2011 Score,2011 Status,2012 Legal Score,2012 Political Score,2012 Economic Score,2012 Score,2012 Status,2013 Legal Score,2013 Political Score,2013 Economic Score,2013 Score,2013 Status,2014 Legal Score,2014 Political Score,2014 Economic Score,2014 Score,2014 Status,2015 Legal Score,2015 Political Score,2015 Economic Score,2015 Score,2015 Status
Afghanistan,,,,,,24,30,20,74,NF,24,28,20,72,NF,21,27,20,68,NF,21,28,20,69,NF,21,28,20,69,NF,21,30,20,71,NF,22,32,20,74,NF,22,33,21,76,NF,22,33,20,75,NF,22,32,20,74,NF,20,28,19,67,NF,20,27,19,66,NF,20,28,19,67,NF,18,26,18,62,NF
Albania,24,12,12,48,PF,20,18,12,50,PF,17,18,14,49,PF,18,17,16,51,PF,17,17,16,50,PF,17,16,17,50,PF,16,16,18,50,PF,16,16,18,50,PF,16,16,18,50,PF,16,17,17,50,PF,16,18,17,51,PF,15,17,17,49,PF,15,17,17,49,PF,15,17,17,49,PF,15,18,18,51,PF
Algeria,21,26,15,62,NF,21,24,17,62,NF,23,22,18,63,NF,23,23,18,64,NF,22,22,17,61,NF,22,23,17,62,NF,22,23,17,62,NF,22,23,17,62,NF,22,25,17,64,NF,22,23,17,62,NF,22,23,17,62,NF,21,23,17,61,NF,20,22,17,59,PF,21,23,17,61,NF,22,23,17,62,NF
Andorra,,,,,,1,1,6,8,F,1,4,8,13,F,1,5,8,14,F,1,5,8,14,F,1,4,8,13,F,1,4,8,13,F,1,4,8,13,F,1,4,8,13,F,1,4,8,13,F,1,4,8,13,F,1,4,8,13,F,1,4,8,13,F,1,4,8,13,F,1,4,8,13,F
Angola,21,33,25,79,NF,20,30,22,72,NF,18,27,21,66,NF,19,26,21,66,NF,19,25,21,65,NF,17,24,21,62,NF,19,23,21,63,NF,18,22,21,61,NF,18,23,21,62,NF,18,25,21,64,NF,19,27,21,67,NF,19,28,21,68,NF,19,29,21,69,NF,19,30,21,70,NF,20,30,21,71,NF
Antigua and Barbuda,12,16,16,44,PF,12,16,17,45,PF,12,16,15,43,PF,12,14,14,40,PF,10,14,14,38,PF,10,14,14,38,PF,10,16,13,39,PF,10,15,13,38,PF,10,15,13,38,PF,9,16,13,38,PF,9,16,13,38,PF,9,16,13,38,PF,9,17,13,39,PF,9,16,13,38,PF,8,16,11,35,PF
Argentina,10,21,6,37,PF,11,16,12,39,PF,8,14,13,35,PF,10,16,15,41,PF,12,17,16,45,PF,13,20,16,49,PF,11,21,15,47,PF,13,21,15,49,PF,13,21,15,49,PF,12,23,16,51,PF,12,22,16,50,PF,13,23,16,52,PF,14,21,16,51,PF,15,20,16,51,PF,14,20,16,50,PF
Armenia,21,26,13,60,PF,23,26,16,65,NF,20,26,18,64,NF,20,26,18,64,NF,20,26,18,64,NF,20,24,20,64,NF,21,25,20,66,NF,21,27,20,68,NF,21,25,20,66,NF,20,25,20,65,NF,21,24,20,65,NF,19,22,20,61,NF,19,23,20,62,NF,19,22,20,61,NF,20,23,20,63,NF
Australia,0,3,7,10,F,3,5,6,14,F,3,4,7,14,F,4,7,7,18,F,5,8,6,19,F,6,9,6,21,F,6,8,7,21,F,6,9,7,22,F,6,9,7,22,F,5,9,7,21,F,4,10,7,21,F,4,10,7,21,F,5,10,7,22,F,5,10,7,22,F,6,10,7,23,F
Austria,10,6,8,24,F,11,6,6,23,F,9,8,6,23,F,8,8,5,21,F,8,8,5,21,F,8,8,5,21,F,8,8,5,21,F,8,8,5,21,F,8,8,5,21,F,8,8,5,21,F,8,8,5,21,F,8,8,5,21,F,8,8,5,21,F,8,8,6,22,F,8,9,6,23,F
Azerbaijan,26,28,23,77,NF,22,28,23,73,NF,24,26,21,71,NF,23,27,22,72,NF,23,27,22,72,NF,24,29,22,75,NF,25,30,22,77,NF,25,31,22,78,NF,25,32,22,79,NF,26,31,22,79,NF,26,32,22,80,NF,27,33,22,82,NF,28,34,22,84,NF,29,36,22,87,NF,29,38,22,89,NF
Bahamas,3,2,3,8,F,3,3,5,11,F,4,5,5,14,F,2,6,6,14,F,2,8,6,16,F,2,9,6,17,F,3,10,7,20,F,3,10,7,20,F,3,10,7,20,F,3,10,7,20,F,3,10,7,20,F,3,9,7,19,F,4,9,7,20,F,5,9,7,21,F,5,10,7,22,F
Bahrain,26,24,25,75,NF,20,25,23,68,NF,22,25,23,70,NF,23,26,22,71,NF,24,26,22,72,NF,23,26,22,71,NF,24,27,20,71,NF,24,27,20,71,NF,24,27,20,71,NF,25,27,20,72,NF,28,35,21,84,NF,28,37,21,86,NF,28,37,22,87,NF,28,37,22,87,NF,28,37,22,87,NF
Bangladesh,16,38,9,63,NF,17,31,17,65,NF,19,31,18,68,NF,20,31,17,68,NF,20,31,17,68,NF,20,30,16,66,NF,22,30,16,68,NF,20,27,16,63,NF,18,22,16,56,PF,17,21,16,54,PF,15,21,16,52,PF,15,22,16,53,PF,15,23,16,54,PF,16,22,16,54,PF,18,27,16,61,NF
Barbados,1,4,11,16,F,1,4,9,14,F,4,6,7,17,F,3,6,8,17,F,3,8,6,17,F,3,8,6,17,F,3,10,6,19,F,3,10,6,19,F,3,10,6,19,F,3,10,6,19,F,3,10,6,19,F,3,9,6,18,F,3,9,6,18,F,3,9,6,18,F,3,9,6,18,F
Belarus,26,31,25,82,NF,27,32,23,82,NF,26,30,28,84,NF,26,32,28,86,NF,27,33,28,88,NF,27,34,28,89,NF,28,35,28,91,NF,28,35,28,91,NF,29,35,28,92,NF,29,36,28,93,NF,29,36,28,93,NF,29,36,28,93,NF,29,36,28,93,NF,29,36,28,93,NF,29,34,28,91,NF
Belgium,2,2,5,9,F,3,1,5,9,F,2,3,4,9,F,2,4,5,11,F,2,4,5,11,F,2,4,5,11,F,2,4,5,11,F,3,4,5,12,F,3,4,5,12,F,3,4,5,12,F,2,4,5,11,F,2,4,5,11,F,2,4,5,11,F,2,4,5,11,F,2,4,5,11,F
Belize,11,8,5,24,F,11,8,4,23,F,8,9,5,22,F,8,7,5,20,F,8,8,5,21,F,8,8,5,21,F,8,9,5,22,F,8,8,5,21,F,8,8,5,21,F,8,9,6,23,F,8,8,5,21,F,8,9,5,22,F,8,9,5,22,F,8,9,5,22,F,8,9,5,22,F
Benin,8,12,10,30,F,7,11,10,28,F,9,11,10,30,F,10,10,10,30,F,11,9,10,30,F,10,10,10,30,F,11,10,10,31,PF,11,10,10,31,PF,11,12,10,33,PF,11,12,10,33,PF,11,12,11,34,PF,11,12,11,34,PF,12,11,13,36,PF,14,11,13,38,PF,13,12,13,38,PF
Bhutan,26,21,25,72,NF,26,25,19,70,NF,22,24,22,68,NF,20,24,22,66,NF,19,24,22,65,NF,19,23,20,62,NF,19,23,19,61,NF,19,23,19,61,NF,18,20,19,57,PF,18,20,19,57,PF,18,20,20,58,PF,18,20,20,58,PF,18,21,20,59,PF,18,21,20,59,PF,18,20,20,58,PF
Bolivia,7,14,4,25,F,8,14,8,30,F,13,17,7,37,PF,13,15,7,35,PF,10,13,10,33,PF,10,16,11,37,PF,10,18,11,39,PF,11,19,12,42,PF,11,20,12,43,PF,13,21,12,46,PF,13,22,12,47,PF,14,22,12,48,PF,14,22,12,48,PF,14,21,12,47,PF,15,21,13,49,PF
Bosnia-Herzegovina,8,19,26,53,PF,8,20,21,49,PF,9,20,19,48,PF,8,21,16,45,PF,8,21,16,45,PF,8,21,16,45,PF,8,21,16,45,PF,9,22,16,47,PF,9,23,16,48,PF,9,23,16,48,PF,9,23,16,48,PF,9,23,17,49,PF,10,23,17,50,PF,10,24,17,51,PF,10,23,17,50,PF
Botswana,4,18,8,30,F,6,13,11,30,F,6,14,10,30,F,6,13,11,30,F,8,16,11,35,PF,8,16,11,35,PF,8,17,11,36,PF,9,17,11,37,PF,11,17,11,39,PF,11,17,12,40,PF,11,17,12,40,PF,11,17,13,41,PF,11,17,13,41,PF,12,19,13,44,PF,12,19,14,45,PF
Brazil,10,13,9,32,PF,11,18,9,38,PF,10,16,10,36,PF,12,16,12,40,PF,13,15,11,39,PF,15,16,11,42,PF,15,16,11,42,PF,15,16,11,42,PF,14,18,11,43,PF,14,19,11,44,PF,13,20,11,44,PF,13,22,11,46,PF,13,21,11,45,PF,13,21,11,45,PF,13,22,11,46,PF
Brunei,26,29,23,78,NF,28,26,22,76,NF,27,25,22,74,NF,27,26,22,75,NF,28,27,22,77,NF,28,26,22,76,NF,28,25,22,75,NF,28,25,22,75,NF,28,25,22,75,NF,28,25,22,75,NF,28,25,22,75,NF,28,25,22,75,NF,28,25,22,75,NF,28,25,22,75,NF,28,25,23,76,NF
Bulgaria,9,11,9,29,F,10,8,12,30,F,10,13,12,35,PF,10,13,12,35,PF,10,12,12,34,PF,10,12,12,34,PF,10,12,11,33,PF,11,14,11,36,PF,11,13,10,34,PF,11,14,10,35,PF,11,15,10,36,PF,11,15,11,37,PF,11,16,12,39,PF,11,15,12,38,PF,12,16,12,40,PF
Burkina Faso,9,16,14,39,PF,9,17,13,39,PF,11,15,13,39,PF,12,15,13,40,PF,11,14,13,38,PF,12,14,13,39,PF,13,15,13,41,PF,13,15,13,41,PF,13,15,13,41,PF,13,15,13,41,PF,13,16,13,42,PF,13,16,13,42,PF,14,17,13,44,PF,18,13,13,44,PF,16,12,13,41,PF
Burundi,25,28,24,77,NF,21,32,23,76,NF,21,30,24,75,NF,21,29,24,74,NF,21,29,24,74,NF,22,31,24,77,NF,21,29,24,74,NF,21,30,24,75,NF,21,30,22,73,NF,22,30,22,74,NF,23,28,21,72,NF,23,28,21,72,NF,24,29,21,74,NF,24,29,21,74,NF,25,33,22,80,NF
Cambodia,26,22,20,68,NF,19,21,24,64,NF,19,22,22,63,NF,17,24,21,62,NF,20,23,18,61,NF,18,21,19,58,PF,19,22,19,60,PF,19,23,19,61,NF,20,22,19,61,NF,21,23,19,63,NF,21,23,19,63,NF,23,24,19,66,NF,23,24,19,66,NF,23,27,19,69,NF,23,27,19,69,NF
Cameroon,26,23,19,68,NF,25,22,18,65,NF,21,25,21,67,NF,22,25,21,68,NF,19,24,22,65,NF,20,25,22,67,NF,20,24,21,65,NF,20,24,21,65,NF,21,24,21,66,NF,21,25,21,67,NF,21,26,21,68,NF,21,24,21,66,NF,22,23,21,66,NF,22,23,21,66,NF,22,22,21,65,NF
Canada,1,6,9,16,F,2,7,8,17,F,2,7,6,15,F,3,8,6,17,F,4,8,6,18,F,3,8,6,17,F,4,8,6,18,F,5,8,6,19,F,5,8,6,19,F,5,8,6,19,F,5,8,6,19,F,5,9,6,20,F,5,8,6,19,F,5,7,6,18,F,5,7,6,18,F
Cape Verde,8,10,12,30,F,8,11,11,30,F,8,16,12,36,PF,7,13,12,32,PF,7,12,13,32,PF,5,10,14,29,F,6,10,12,28,F,6,10,12,28,F,6,10,12,28,F,6,9,12,27,F,6,9,12,27,F,6,9,12,27,F,6,9,12,27,F,6,9,12,27,F,6,9,12,27,F
Central African Republic,24,23,22,69,NF,20,28,19,67,NF,25,22,17,64,NF,23,22,18,63,NF,21,22,18,61,NF,18,21,19,58,PF,19,23,19,61,NF,19,23,19,61,NF,19,23,19,61,NF,19,23,19,61,NF,20,23,19,62,NF,20,23,19,62,NF,24,32,21,77,NF,21,29,22,72,NF,21,28,22,71,NF
Chad,26,22,26,74,NF,20,26,21,67,NF,24,29,21,74,NF,23,29,21,73,NF,23,29,21,73,NF,23,30,21,74,NF,23,30,21,74,NF,24,31,21,76,NF,24,32,21,77,NF,23,31,21,75,NF,23,31,21,75,NF,23,31,22,76,NF,22,31,22,75,NF,22,30,22,74,NF,22,30,22,74,NF
Chile,7,9,6,22,F,8,8,6,22,F,8,7,8,23,F,8,10,6,24,F,8,11,7,26,F,10,12,8,30,F,10,12,8,30,F,9,12,8,29,F,9,13,8,30,F,8,13,8,29,F,8,14,9,31,PF,8,14,9,31,PF,8,14,9,31,PF,8,14,9,31,PF,8,13,8,29,F
China,26,31,23,80,NF,26,34,20,80,NF,27,32,21,80,NF,27,33,22,82,NF,27,34,22,83,NF,28,34,22,84,NF,28,35,21,84,NF,28,35,22,85,NF,28,34,22,84,NF,29,34,22,85,NF,29,34,22,85,NF,29,32,22,83,NF,29,33,22,84,NF,30,34,22,86,NF,30,35,22,87,NF
Colombia,11,30,19,60,PF,12,32,19,63,NF,12,32,19,63,NF,12,32,19,63,NF,13,32,16,61,NF,13,29,15,57,PF,13,30,16,59,PF,13,30,16,59,PF,14,30,16,60,PF,12,28,16,56,PF,11,28,16,55,PF,11,26,16,53,PF,11,27,16,54,PF,12,27,16,55,PF,13,26,17,56,PF
Comoros,12,15,14,41,PF,9,20,14,43,PF,12,20,13,45,PF,11,18,15,44,PF,12,20,15,47,PF,12,21,15,48,PF,14,25,15,54,PF,14,21,15,50,PF,14,21,15,50,PF,14,19,15,48,PF,14,19,15,48,PF,14,20,15,49,PF,14,20,15,49,PF,14,20,15,49,PF,14,20,15,49,PF
"Congo, Democratic Republic of (Kinshasa)",26,34,26,86,NF,25,35,22,82,NF,25,31,24,80,NF,25,31,25,81,NF,25,31,25,81,NF,24,32,24,80,NF,25,32,24,81,NF,25,32,24,81,NF,25,32,24,81,NF,25,32,24,81,NF,16,22,17,83,NF,26,33,24,83,NF,24,31,24,79,NF,17,25,17,59,PF,24,30,24,78,NF
"Congo, Republic of (Brazzaville)",18,18,17,53,PF,18,20,17,55,PF,17,20,17,54,PF,17,17,17,51,PF,17,17,17,51,PF,17,17,17,51,PF,17,17,17,51,PF,17,19,17,53,PF,16,21,17,54,PF,16,21,17,54,PF,25,34,24,55,PF,16,23,17,56,PF,16,24,17,57,PF,24,31,24,79,NF,17,25,17,59,PF
Costa Rica,7,4,6,17,F,4,5,5,14,F,7,7,5,19,F,5,7,7,19,F,5,6,7,18,F,7,7,6,20,F,6,7,6,19,F,6,7,6,19,F,6,7,6,19,F,5,7,6,18,F,5,8,6,19,F,5,7,6,18,F,5,7,6,18,F,4,7,6,17,F,4,7,6,17,F
C̫te d'Ivoire,22,25,19,66,NF,18,33,17,68,NF,19,29,17,65,NF,19,31,19,69,NF,18,28,19,65,NF,19,30,19,68,NF,20,27,19,66,NF,21,27,19,67,NF,21,26,19,66,NF,21,28,19,68,NF,20,31,19,70,NF,17,25,19,61,NF,15,21,19,55,PF,14,20,19,53,PF,14,19,18,51,PF
Crimea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,38,26,94,NF,30,38,26,94,NF
Croatia,8,12,13,33,PF,8,12,13,33,PF,11,12,14,37,PF,11,13,13,37,PF,10,15,14,39,PF,9,14,14,37,PF,9,13,14,36,PF,9,15,14,38,PF,9,16,15,40,PF,9,17,15,41,PF,9,16,15,40,PF,9,16,15,40,PF,9,16,15,40,PF,9,16,15,40,PF,9,18,15,42,PF
Cuba,26,40,30,96,NF,30,36,28,94,NF,30,38,28,96,NF,30,38,28,96,NF,30,39,27,96,NF,30,39,27,96,NF,30,36,28,94,NF,30,36,28,94,NF,30,35,28,93,NF,30,34,28,92,NF,29,34,28,91,NF,29,35,28,92,NF,28,34,28,90,NF,28,35,28,91,NF,28,35,28,91,NF
Cyprus (Greek),2,8,8,18,F,4,6,8,18,F,4,6,8,18,F,5,10,7,22,F,5,9,8,22,F,5,9,8,22,F,5,9,8,22,F,5,9,8,22,F,5,9,8,22,F,5,9,8,22,F,5,9,8,22,F,6,10,9,25,F,5,11,9,25,F,5,11,9,25,F,5,10,9,24,F
Cyprus (Turkish),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,10,6,9,25,F,9,5,9,23,F,6,10,7,23,F,6,9,7,22,F,5,8,7,20,F,4,7,7,18,F,4,7,7,18,F,4,7,7,18,F,4,7,7,18,F,4,8,7,19,F,4,8,7,19,F,4,8,7,19,F,4,8,8,20,F,4,8,9,21,F,4,8,9,21,F
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,1,1,7,9,F,1,3,7,11,F,1,1,6,8,F,2,3,5,10,F,2,3,5,10,F,2,4,5,11,F,2,3,5,10,F,2,4,5,11,F,2,4,5,11,F,2,6,5,13,F,2,5,5,12,F,2,5,5,12,F,2,5,5,12,F,2,5,5,12,F,2,6,4,12,F
Djibouti,26,23,18,67,NF,21,25,19,65,NF,21,25,20,66,NF,22,24,21,67,NF,23,25,21,69,NF,23,25,21,69,NF,24,25,23,72,NF,24,26,23,73,NF,24,26,23,73,NF,24,26,23,73,NF,24,27,23,74,NF,24,27,23,74,NF,24,28,23,75,NF,24,28,23,75,NF,24,28,23,75,NF
Dominica,0,6,10,16,F,0,6,8,14,F,3,7,7,17,F,2,8,7,17,F,3,10,6,19,F,4,10,6,20,F,5,11,6,22,F,5,11,6,22,F,5,11,7,23,F,5,11,7,23,F,5,11,7,23,F,6,11,7,24,F,6,11,8,25,F,6,11,8,25,F,6,12,8,26,F
Dominican Republic,5,12,13,30,F,5,10,18,33,PF,8,16,15,39,PF,7,16,15,38,PF,7,16,14,37,PF,8,18,14,40,PF,7,19,13,39,PF,8,19,13,40,PF,8,18,13,39,PF,7,20,13,40,PF,7,21,13,41,PF,7,20,13,40,PF,8,20,13,41,PF,8,21,13,42,PF,8,21,13,42,PF
East Timor,6,9,6,21,F,3,8,11,22,F,6,11,12,29,F,7,14,9,30,F,11,16,12,39,PF,12,17,13,42,PF,12,13,13,38,PF,12,12,13,37,PF,11,11,13,35,PF,11,11,13,35,PF,11,11,13,35,PF,11,11,13,35,PF,11,11,13,35,PF,11,11,13,35,PF,11,11,13,35,PF
Ecuador,15,10,15,40,PF,14,14,13,41,PF,12,18,12,42,PF,11,19,11,41,PF,13,18,10,41,PF,13,18,10,41,PF,14,17,10,41,PF,15,18,11,44,PF,16,20,11,47,PF,17,23,12,52,PF,20,24,14,58,PF,21,25,15,61,NF,22,25,15,62,NF,23,26,15,64,NF,23,27,16,66,NF
Egypt,26,28,23,77,NF,28,27,24,79,NF,26,28,22,76,NF,24,24,20,68,NF,22,21,18,61,NF,22,22,18,62,NF,21,20,18,59,PF,21,21,18,60,PF,21,21,18,60,PF,23,24,18,65,NF,20,22,15,57,PF,22,24,16,62,NF,22,30,16,68,NF,24,33,16,73,NF,25,35,17,77,NF
El Salvador,5,22,8,35,PF,9,18,11,38,PF,11,17,14,42,NF,11,16,14,41,PF,11,17,15,43,PF,10,18,14,42,PF,10,18,14,42,PF,10,18,14,42,PF,10,19,14,43,PF,11,17,14,42,PF,9,17,14,40,PF,10,17,14,41,PF,9,16,14,39,PF,9,16,14,39,PF,9,17,13,39,PF
Equatorial Guinea,26,29,25,80,NF,26,32,23,81,NF,26,35,28,89,NF,26,34,28,88,NF,27,34,27,88,NF,27,35,27,89,NF,27,35,27,89,NF,27,36,27,90,NF,27,36,27,90,NF,27,36,27,90,NF,27,37,27,91,NF,27,37,27,91,NF,27,36,27,90,NF,27,36,27,90,NF,27,36,28,91,NF
Eritrea,26,33,20,79,NF,26,36,21,83,NF,28,38,23,89,NF,28,39,24,91,NF,28,39,24,91,NF,30,40,24,94,NF,30,40,24,94,NF,30,40,24,94,NF,30,40,24,94,NF,30,40,24,94,NF,30,40,24,94,NF,30,40,24,94,NF,30,40,24,94,NF,30,40,24,94,NF,30,40,24,94,NF
Estonia,2,5,11,18,F,7,4,6,17,F,6,5,6,17,F,5,6,6,17,F,5,5,6,16,F,5,5,6,16,F,4,6,6,16,F,4,5,6,15,F,4,6,7,17,F,5,6,7,18,F,5,6,7,18,F,5,4,7,16,F,5,4,7,16,F,5,4,7,16,F,5,4,7,16,F
Ethiopia,23,20,18,61,NF,23,23,18,64,NF,24,23,19,66,NF,25,23,20,68,NF,27,28,20,75,NF,27,30,20,77,NF,27,30,19,76,NF,25,33,18,76,NF,27,33,18,78,NF,27,33,18,78,NF,28,35,18,81,NF,28,35,19,82,NF,27,35,19,81,NF,28,36,19,83,NF,28,36,19,83,NF
Fiji,8,11,14,33,PF,6,11,12,29,F,6,13,10,29,F,7,13,10,30,F,7,11,10,28,F,12,19,8,39,PF,11,18,8,37,PF,14,18,8,40,PF,16,27,11,54,PF,18,27,12,57,PF,18,27,13,58,PF,18,26,12,56,PF,18,24,12,54,PF,18,22,12,52,PF,16,20,12,48,PF
Finland,1,3,6,10,F,1,2,7,10,F,2,2,5,9,F,2,3,4,9,F,2,3,4,9,F,2,3,4,9,F,2,3,4,9,F,3,3,4,10,F,3,3,4,10,F,3,3,4,10,F,3,3,4,10,F,4,3,4,11,F,4,3,4,11,F,4,3,4,11,F,4,3,4,11,F
France,2,5,10,17,F,5,7,5,17,F,4,10,5,19,F,4,9,7,20,F,5,9,7,21,F,5,9,7,21,F,6,9,7,22,F,6,9,7,22,F,6,10,7,23,F,6,10,7,23,F,6,11,7,24,F,5,10,7,22,F,5,10,7,22,F,5,11,7,23,F,6,15,7,28,F
